mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.30501570701599123,0.03739363191579292,0.019565296173095704,0.01446320101090138,30,0.5,1,2,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,51
0.44466824531555177,0.04366888393650116,0.025194120407104493,0.01188269370350108,30,0.5,1,2,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1446959919.2626016,-20344044797.53158,-4626653914.920903,-22529785.263320506,-5634613173.70338,-6414960318.136357,7257693462.423889,35
0.3018381595611572,0.039811206500983715,0.013186120986938476,0.0022355466867939387,30,0.5,1,5,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,45
0.4640925884246826,0.04960811956747164,0.021285533905029297,0.002712789182934979,30,0.5,1,5,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1377384528.0976336,-20827051601.73424,-3994684634.664564,-50342159.25124363,-6189186369.171962,-6487729858.583929,7476311129.768525,41
0.2617378234863281,0.04645695519007107,0.012438058853149414,0.001223816644894903,30,0.5,2,2,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1034475668.2944556,-20046845573.17081,-2885074176.5811615,-52516519.574876405,-7429633549.478822,-6289709097.420025,7330345426.523299,15
0.48675031661987306,0.07713879653439724,0.0238523006439209,0.0035470879833569965,30,0.5,2,2,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,11
0.25802173614501955,0.05599216594419655,0.012399816513061523,0.0014981473983504351,30,0.5,2,5,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
0.42980422973632815,0.024770646268137325,0.02181401252746582,0.0017018337321891928,30,0.5,2,5,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1056431308.3468853,-20173514735.02011,-3311904333.846289,-47086110.094118066,-6390700593.740659,-6195927416.209612,7320534715.931484,5
0.24308648109436035,0.02329589893116538,0.017452764511108398,0.009991417413025137,30,0.55,1,2,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,51
0.4721874713897705,0.08400476782487436,0.02491030693054199,0.01045246840162612,30,0.55,1,2,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1446959919.2626016,-20344044797.53158,-4626653914.920903,-22529785.263320506,-5634613173.70338,-6414960318.136357,7257693462.423889,35
