CROPPED AREA FOR MAJOR CROPS IN THE WESTERN REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,,,,,,,
Ho,1.4909999999999999,2.5864000000000003,14.63,12.86,3.602,10.406,0,0,0,,,,
Adaklu Anyigbe,1.969,2.52,15.34,11.195,4.902,5.304,0,0,0,,,,
AVERAGE YIELD,1.814760473267437,3.3125056461180193,15.784182023219767,15.600188499570473,7.861648250666072,7.9189696736460995,1.2138037968934507,1.153099096191091,0.7016764646259883,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE VOLTA REGION - 2011 (Figures in Metric Tons),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,SORGHUM,SOYBEAN,COWPEA,,,,
North Tongu,2700,7350,28750,-,-,-,-,0,97.5,,,,
South Tongu,2708.8,369.765,30620.28,-,-,-,-,0,0,,,,
Akatsi,5620,-,43300.8,-,-,-,-,0,1483.2400000000002,,,,
Keta,1387,-,0,-,-,-,-,0,0,,,,
Ketu,25563.3,11827.1,191378.8485,-,-,-,-,0,0,,,,
North Dayi (Kpando),4095.3569999999995,1333.948,24469.056,12844.755,625.19,1238.28,-,0,0,,,,
South Dayi,3092.544,645.2099999999999,22466.86,478.88,620.5680000000001,1248.7040000000002,,0,0,,,,
Hohoe,16766.22,23747.2,100452,16769.946,651.326,3607.23,-,0,0,,,,
Jasikan,7907.952,7278.535,116096.33880000003,16122.619999999999,22339.958399999996,29532.227199999998,-,0,0,,,,
Kadjebi,7478.339999999999,7300.679999999999,70405.65,13590.362,18004.428000000004,18357.148,-,0,0,,,,
Nkwanta,7109.3,7522.592,596640.4524000001,165865.92750000002,4621.32,3492.93124,681.5400000000001,771.3720000000001,1384.5480000000002,,,,
Krachi West,2666.85,2841.6780000000003,190767.234,89497.1,244.71040000000002,694.2838,3210.792,2812.0085999999997,0,,,,
Krachi East,2052.04,3416,160174.5495,99608.25600000001,453.28800000000007,1305.2104,1452.7744000000002,1417.8408,0,,,,
Ho,4352.228999999999,1086.288,63069.93,10808.83,1617.298,2971.9536000000003,-,0,0,,,,
Adaklu Anyigbe,4357.397,670.32,21414.64,1164.28,99.51060000000001,107.1408,-,0,0,,,,
TOTAL,97857.329,75389.316,1660006.6391999996,426750.9565000001,49277.597400000006,62555.109039999996,5345.106400000001,5001.221399999999,1384.5480000000002,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROPPED AREA FOR MAJOR CROPS IN THE ASHANTI REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,G'NUTS,COWPEA,,,,,
Amansie East,4896,373.7,6047.499999999999,320,2800,6882.749999999999,0,0,,,,,
 Amansie Central,4516.75,30.3,5780,795,1444.3,4554,0,0,,,,,
Amansie West,2979.5,207.05,3131,864.3,1500,3260.2499999999995,0,0,,,,,
Ejura Sekyedumase,20159.28,2856,3366,10200,30,838.3499999999999,4464.2,6060,,,,,
Sekyere West ,18218.985999999997,80.8,11730,7600,2079,4140,580,918,,,,,
Sekyere East,11424,181.8,6222,3535,3260,3622.4999999999995,663,707,,,,,
Afigya Sekyere,8330,168.3,6969,2295,3333,4657.5,60,80,,,,,
Ahafo Ano North,12544,373.7,5858,810,6565,7200,0,80,,,,,
Ahafo Ano South,11212.964,707,10762.499999999998,456,9690,7762.499999999999,0,0,,,,,
Atwima Mponua,3626,759.9,5151.404,486,6300,8280,0,0,,,,,
Atwima Nwabiagya,5781.24,408,6050,1320,5500,4657.5,0,20,,,,,
Ejusu Juaben,3564,520,5760,383.8,2474.5,3518.9999999999995,0,0,,,,,
Bosumtwe-Atwima-Kwanwoma,3999.38,345,5010,693.6,1029,3208.4999999999995,0,70,,,,,
Kwabre ,1089,136.35,5740,202,2871,2070,0,0,,,,,
Offinso,15963,316.2,8080,1055.25,1500,6209.999999999999,494.40000000000003,214.20000000000002,,,,,
Adansi North,3723,303,6760,605,1100,4347,0,0,,,,,
Obuasi Municipal (Adansi West),928.5994999999999,40,323.2,424.2,450,931.4999999999999,0,0,,,,,
Adansi  South (East),3596.6,1734,6565,792,2400,2850,0,0,,,,,
Asante Akim North,11226.501000000002,360,4640,813.05,1188,8493.216468749999,0,63.375,,,,,
Asante Akim South,5814,363.6,7150,277.75,8585,7748.527499999998,0,0,,,,,
K. M. A.,343.575,16,444.909605,10.049999999999999,10,983.2499999999999,0,0,,,,,
TOTAL,153936.37550000005,10280.7,121540.513605,33938,64108.8,96216.34396874999,6261.599999999999,8212.575,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AVERAGE YIELD FOR MAJOR CROPS IN THE ASHANTI REGION - 2011 (Figures in Mt/Ha),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,G'NUTS,COWPEA,,,,,
Amansie East,1,2.52,15.2,13.1,5.5,10,0,0,,,,,
 Amansie Central,1.1,2.35,14.2,11.1,7.5,8.8,0,0,,,,,
Amansie West,1,2.45,13.2,11.1,6.8,9.6,0,0.375,,,,,
Ejura Sekyedumase,1.18,2.7,12.2,15.65,4.5,8.6,1.35,0.32,,,,,
Sekyere West ,1.2,2.5,18.4,14.45,6.5,10.6,1.2,0,,,,,
Sekyere East,1.2,2.58,16.3,13.5,6.6,12,1.1700000000000002,0.4,,,,,
Afigya Sekyere,1.1,2.48,13.4,13,6.5,8.7,1.1,0,,,,,
Ahafo Ano North,1,2.95,16.2,12.6,6.6,10.6,0,0.545,,,,,
Ahafo Ano South,1.1,3.46,16.4,12.1,6.1,9.7,0,0,,,,,
Atwima Mponua,1.2,2.56,15.2,14,5.6,9.7,0,0,,,,,
Atwima Nwabiagya,1.2,2.95,16.3,11.5,5.2,9.8,0,0,,,,,
Ejusu Juaben,1,3.15,14.5,12.1,6.5,9.8,0,0,,,,,
Bosumtwe-Atwima-Kwanwoma,1,2.48,13.3,12.1,6.6,9.8,0,0.3,,,,,
Kwabre ,1.1,2.38,13.4,10.3,6.3919999999999995,10.5,0,0,,,,,
Offinso,1.2,2.54,15.3,14,6,10.4,1.1700000000000002,0.35,,,,,
Adansi North,1.1,2.58,16.3,11,5.5,10.2,0,0,,,,,
Obuasi Municipal (Adansi West),1,2.48,16.2,10.1,6,8.7,0,0,,,,,
Adansi  South (East),1,2.47,17.3,11.2,6.5,10.6,0,0,,,,,
Asante Akim North,1.2,2.58,18,12.7,7,10.5,0,0.4,,,,,
Asante Akim South,1,2.35,16.3,12.1,5,11.7,0,0,,,,,
K. M. A.,1.1,2.42,12,10.1,4,10,0,0,,,,,
AVERAGE YIELD,1.1286125169291121,2.6870319628040886,15.636298874269514,13.872762242913547,6.01223750873515,10.158688891664124,1.3004388654656958,0.29064209459274337,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE ASHANTI REGION - 2011 (Figures in Metric Tons),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,G'NUTS,COWPEA,,,,,
Amansie East,4896,941.7239999999999,91921.99999999999,4192,15400,68827.49999999999,0,0,,,,,
 Amansie Central,4968.425,71.205,82076,8824.5,10832.25,40075.200000000004,0,0,,,,,
Amansie West,2979.5,507.27250000000004,41329.2,9593.73,10200,31298.399999999994,0,0,,,,,
Ejura Sekyedumase,23787.950399999998,7711.200000000001,41065.2,159630,135,7209.809999999999,6026.67,1939.2,,,,,
Sekyere West ,21862.783199999994,202,215831.99999999997,109820,13513.5,43884,696,0,,,,,
Sekyere East,13708.8,469.04400000000004,101418.6,47722.5,21516,43469.99999999999,775.7100000000002,282.8,,,,,
Afigya Sekyere,9163,417.384,93384.6,29835,21664.5,40520.25,66,0,,,,,
